ReviewID	SentenceID	Text	Tokens
1652	1652_0	Beautiful hotel but gaming is expensive.	["Beautiful","hotel","but","gaming","is","expensive","."]
1652	1652_1	Rooms are nicely decorated and decor in hotel is amazing.	["Rooms","are","nicely","decorated","and","decor","in","hotel","is","amazing","."]
1652	1652_2	Valet takes a long time so plan ahead.	["Valet","takes","a","long","time","so","plan","ahead","."]
1652	1652_3	Went to Tao ""beach"" pool.	["Went","to","Tao","''","``","beach","''","''","pool","."]
1652	1652_4	Not a beach at all.	["Not","a","beach","at","all","."]
1652	1652_6	Super small pool and over priced drinks.	["Super","small","pool","and","over","priced","drinks","."]
1653	1653_0	We just love staying at the Venetian.	["We","just","love","staying","at","the","Venetian","."]
1653	1653_1	The rooms have plenty of room and very comfortable.	["The","rooms","have","plenty","of","room","and","very","comfortable","."]
1653	1653_2	Love having over 20 places to choose eating from plus the shopping for my wife was added bonus.	["Love","having","over","20","places","to","choose","eating","from","plus","the","shopping","for","my","wife","was","added","bonus","."]
1653	1653_3	This place has it all.	["This","place","has","it","all","."]
1653	1653_4	If you have a bad review of this place then I don't think you can be pleased.	["If","you","have","a","bad","review","of","this","place","then","I","do","n't","think","you","can","be","pleased","."]
1653	1653_5	All their rooms are suites and it is just a beautiful place to walk around and enjoy.	["All","their","rooms","are","suites","and","it","is","just","a","beautiful","place","to","walk","around","and","enjoy","."]
1654	1654_4	This is the best hotel the room was perfect.	["This","is","the","best","hotel","the","room","was","perfect","."]
1654	1654_5	The service was over the top.	["The","service","was","over","the","top","."]
1655	1655_0	Splurged for one night at the Venetian...	["Splurged","for","one","night","at","the","Venetian","..."]
1655	1655_3	Stayed in a Bella suite that was awesome.	["Stayed","in","a","Bella","suite","that","was","awesome","."]
1655	1655_4	Front desk, valet, bellhop all attentive and friendly.	["Front","desk",",","valet",",","bellhop","all","attentive","and","friendly","."]
1655	1655_6	Would stay here again but next time for longer than one night!	["Would","stay","here","again","but","next","time","for","longer","than","one","night","!"]
1656	1656_0	Stayed in this hotel for 4 nights and thought it was amazing,the standard is top quality only rivalled by the Bellagio & Wynn.	["Stayed","in","this","hotel","for","4","nights","and","thought","it","was","amazing",",","the","standard","is","top","quality","only","rivalled","by","the","Bellagio","&","Wynn","."]
1656	1656_1	We stayed in the piazzo suites which where new and very nice.	["We","stayed","in","the","piazzo","suites","which","where","new","and","very","nice","."]
1656	1656_2	Ate at the hotel for every meal as the Resturants were very good.	["Ate","at","the","hotel","for","every","meal","as","the","Resturants","were","very","good","."]
1657	1657_0	we came with three kids after a few days of travelling in Utah's desert and big parks...	["we","came","with","three","kids","after","a","few","days","of","travelling","in","Utah","'s","desert","and","big","parks","..."]
1657	1657_2	it was fun to be in this elegant and indulging hotel.	["it","was","fun","to","be","in","this","elegant","and","indulging","hotel","."]
1657	1657_3	we were offered to upgrade our room and we did.	["we","were","offered","to","upgrade","our","room","and","we","did","."]
1657	1657_4	it was a reasonable price.	["it","was","a","reasonable","price","."]
1659	1659_0	the hotel is huge.	["the","hotel","is","huge","."]
1659	1659_1	Really nice always clean  and lot of security for guests.	["Really","nice","always","clean","and","lot","of","security","for","guests","."]
1659	1659_2	the only thing that we didnt like is that we got offered an upgrade with ""excellent view of the city"" so we paid the extra ammount but the suite didnt had a view of the city but instead of the building infront...	["the","only","thing","that","we","didnt","like","is","that","we","got","offered","an","upgrade","with","''","``","excellent","view","of","the","city","''","''","so","we","paid","the","extra","ammount","but","the","suite","didnt","had","a","view","of","the","city","but","instead","of","the","building","infront","..."]
1659	1659_3	that was a little dissapointing.	["that","was","a","little","dissapointing","."]
1659	1659_4	Besides that the suite was really nice.	["Besides","that","the","suite","was","really","nice","."]
1660	1660_0	I like the Venetian - i have stayed there twice.	["I","like","the","Venetian","-","i","have","stayed","there","twice","."]
1660	1660_1	This particular room for this stay needed some upkeep.	["This","particular","room","for","this","stay","needed","some","upkeep","."]
