ReviewID	Text
1	the first room that they had us in had wet carpet so I am thinking something bad was on the carpet an they cleaned it before we got there but it was soaking wet in a large area.
1	The next room reeked of cigar smoke and had a huge air cleaning machine running in it.
1	Finally we got a remodeled room which was good but those not remodeled are are dirty looking and furniture is stained and filthy.
1	I guess what happens in Vegas...
1	happens in the bedroom and stays there.
1	The staff was great; the elevators were fast ( no waiting), lobby impressive, bathrooms nice.
2	I would stay at The Palazzo next time, since they are connected.
2	I liked my experience better there than The Venetian.
3	Been to Vegas 5 times now and definitely impressed from the outset.
3	Staff at check in were extremely pleasant and helpful.
3	We had a room in the Venezia Tower which was quite a walk every morning and evening.
3	This did not bother us one bit as the interior decor is amazing and makes a pleasant stroll to the pools and after an evening out.
3	Pool was excellent and clean.
3	Pool bar was brilliant with helpful and friendly staff.
3	Multiple large screen TVs above the bar for the sport lovers!
3	Tao pool club is just off the main pool itself and the music will be heard from the main pool area.
3	I quite enjoyed the music and the atmosphere the came with it.
3	As always plenty of places to eat in and around the hotel.
3	The best Vegas hotel I have stayed in yet...
4	Very nice, the room was comfortable, and clean.
4	The amenities were great, the pool was clean and very pretty setting.
4	So many restaurants to choice from, and friendly staff.
5	Very very great I like it
8	Great experience- spouse first time going to Vegas and she was so impressed with the hotel.
8	She felt it was visually attractive, clean, roomy.
8	If you want to impress a first timer, start with the Venetian hotel!
9	Except for the fact that yoi can't use the fridge while they charge you the resort fee a really good experience with very friendly staff, good restaurants and shopping options.
10	Outstanding hotel, great service, but the electric walkers were not operational.
11	I like this hotel as you get the feeling that you are in Italy.
11	Great attention to detail.
11	Good location and many great restaurants.
13	This place is so beautiful.
13	I will return here for sure.
17	We had a great stay here!
17	The room was beautiful, clean and comfortable.
17	Staff was very courteous.
17	The only issue we had was getting charged over $60 for the mini bar when we were extra careful to not even touch it.
17	I had to call and get it reversed and the operator made me feel like I was not honest and said they will reverse the charges just this one time.
18	The Venetian is spectacular.
18	Everywhere you look, there is something visually interesting going on.
18	Our room (the luxury suite) was gorgeous - very roomy and comfortable.
18	The bath was just the right size for lounging!
18	The Grand Lux Cafe really does have something for everyone, is reasonably affordable, and has excellent service.
18	We did try ordering room service online, which didn't work, but the hotel immediately compensated us for the inconvenience.
18	This was our first time in Vegas, and if we come back, I would definitely want to stay at the Venetian again.
19	Hotel need to provide some room in refrigerator where we can keep some personal items.
19	Not the entire fridge loaded with alcohol :) Also would have been good if the room got a microwave oven.
19	Other than these two for sure you will love this place for your stay.
20	I have stayed at NYNY, Bellagio and MGM.
20	The Venetian has the best suites, excellent restaurants, great shopping and is by far the best value for money on the strip.
22	The suite was beautiful, spacious and comfortable.
22	We had a great relaxing night.
22	A wonderful way to celebrate our 28th Anniversary :) We also got to go to Tao night club, as guests we get in free and get a complimentary drink, quite a night!
22	We must return for a longer stay next time as there is so much to do and experience!
22	The only negative is the resort fee which is compulsory as the only thing we got from it was the free Wifi.
22	We were not told what we get for the resort fee and it was only after checking online I realized we did not get the drinks coupon, the free coffee or tea, the newspaper or the access for two to the fitness facility.
22	On our next stay we will ensure we ask what the resort fee offers and make sure we get it!
23	Luxurious room; excellent strip view; Hotel/Casino has plenty to see and do.
23	Mall area has lots of shopping and restaurant choices.
23	You could spend an entire weekend just on the Venetian property!
24	This was the best hotel staff was immaculate room was beautiful and it was right on the strip will def stay again.
25	This was my third time here - twice at the Venetian and once at the Palazzo - my girlfriend and I went to celebrate our 50th birthdays and she had always wanted to stay there so expectations were high - we weren't disappointed - although it was busy with conventions, check in was still quick and since we were early (before noon) our room wasn't ready so they upgraded us to the Venezia Tower - the room, location, facilities were all top notch and the staff extremely friendly and helpful - would definitely stay there again
26	Our room was extremely clean and luxurious.
26	The hotel staff was very helpful and friendly.
26	We will definitely stay at the Venetian again.
27	this place is amazing the city alone never sleeps but the hotel is just jaw dropping.
27	the room is spacious and over the top i got the luxury suite with a view it was only a view of the mountains and pool but was still worth that little extra.
27	anything you could need can be found in the hotel.
27	would definitely stay there again.
28	full of happiness and .
28	I was there for conference but I had great time in this hotel.
29	great place its a must go and see for yourself.
30	What a lovely place to stay!
30	The staff are so friendly and genuinely happy to help and make your stay a wonderful experience.
30	I will be back again!
31	Enjoyed our stay a lot, will be a repeat customer.
32	Loved the Gondolas and the rooms, very comfortable, everything was great and unforgetable!
33	Ideal mix of workout, spa, outstanding food, shopping, shows & fun romance all in one!
34	The front desk gave me wrong room number and bothered the guest in room.
34	It was so embarrassed.
34	The hotel map is confused and out of date.
34	I can't believe this is high class hotel.
36	The only thing we weren't happy about was at check in we had requested no smoking rooms and they didn't have any, this was important to us.
36	They did upgrade us and the room was nice but smelled of smoke.
37	Nice hotel, friendly staff, good facilities.
37	I can not tell one bad worth about the hotel.
37	Nice casino only sometimes you must wait a long time for a drink.
